"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/taxa/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/taxa/list.csv?datainfo&rowcount&base_name=Mammalia&show=full&order=hierarchy"
"Access Time","Fri 2026-08-28 21:59:00 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","show","full"
"","order","hierarchy"
"Elapsed Time","0.945"
"Records Found","34129"
"Records Returned","34129"
"Records:"
"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","taxon_attr","common_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","parent_name","ref_author","ref_pubyr","reference_no","is_extant","n_occs","firstapp_max_ma","firstapp_min_ma","lastapp_max_ma","lastapp_min_ma","early_interval","late_interval","taxon_size","extant_size","phylum","class","order","family","genus","type_taxon","taxon_environment","environment_basis","motility","motility_basis","life_habit","life_habit_basis","vision","diet","diet_basis","reproduction","reproduction_basis","ontogeny","ontogeny_basis","ecospace_comments","composition","architecture","thickness","reinforcement","taphonomy_basis"
"204158","204158","txn","","","Arguimus","Dashzeveg 1979","","","204158","genus","Arguimus","155048","Zatheria","Dashzeveg","1979","38329","extinct","2","119.57","110.1","119.57","110.1","Aptian","Albian","2","0","Chordata","Mammalia","","","Arguimus","Arguimus khosbajari","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"204165","204165","txn","","","Arguitherium","Dashzeveg 1994","","subjective synonym of","204158","genus","Arguimus","155048","Zatheria","Dashzeveg","1994","38330","extinct","2","119.57","110.1","119.57","110.1","Aptian","Albian","2","0","Chordata","Mammalia","","","Arguimus","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"204159","204159","txn","","","Arguimus khosbajari","Dashzeveg 1979","","","204159","species","Arguimus khosbajari","204158","Arguimus","Dashzeveg","1979","38329","extinct","2","119.57","110.1","119.57","110.1","Aptian","Albian","1","0","Chordata","Mammalia","","","Arguimus","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"204167","204167","txn","","","Arguitherium cromptoni","Dashzeveg 1994","","subjective synonym of","204159","species","Arguimus khosbajari","204158","Arguimus","Dashzeveg","1994","38330","extinct","2","119.57","110.1","119.57","110.1","Aptian","Albian","1","0","Chordata","Mammalia","","","Arguimus","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"212371","212371","txn","","","Chunnelodon","Ensom and Sigogneau-Russell 1998","","","212371","genus","Chunnelodon","155048","Zatheria","Ensom and Sigogneau-Russell","1998","39154","extinct","1","143.1","139.1","143.1","139.1","Berriasian","","2","0","Chordata","Mammalia","","","Chunnelodon","Chunnelodon alopekodes","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"212372","212372","txn","","","Chunnelodon alopekodes","Ensom and Sigogneau-Russell 1998","","","212372","species","Chunnelodon alopekodes","212371","Chunnelodon","Ensom and Sigogneau-Russell","1998","39154","extinct","1","143.1","139.1","143.1","139.1","Berriasian","","1","0","Chordata","Mammalia","","","Chunnelodon","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"155047","155047","txn","","","Mozomuridae","Li et al. 2005","","","155047","family","Mozomuridae","155048","Zatheria","Li et al.","2005","30818","extinct","1","119.57","110.1","119.57","110.1","Aptian","Albian","3","0","Chordata","Mammalia","","Mozomuridae","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"155049","155049","txn","","","Mozomus","Li et al. 2005","","","155049","genus","Mozomus","155047","Mozomuridae","Li et al.","2005","30818","extinct","1","119.57","110.1","119.57","110.1","Aptian","Albian","2","0","Chordata","Mammalia","","Mozomuridae","Mozomus","Mozomus shikamai","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"155050","155050","txn","","","Mozomus shikamai","Li et al. 2005","","","155050","species","Mozomus shikamai","155049","Mozomus","Li et al.","2005","30818","extinct","1","119.57","110.1","119.57","110.1","Aptian","Albian","1","0","Chordata","Mammalia","","Mozomuridae","Mozomus","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"183782","241958","txn","","","Peramura","(McKenna 1975)","","","183782","order","Peramura","155048","Zatheria","McKenna","1975","10470","extinct","13","168.2","165.3","141","137.05","Bathonian","Berriasian","14","0","Chordata","Mammalia","Peramura","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"39881","39881","txn","","","Peramuridae","Kretzoi 1946","","","39881","family","Peramuridae","183782","Peramura","Carroll","1988","4783","extinct","12","168.2","165.3","141","137.05","Bathonian","Berriasian","13","0","Chordata","Mammalia","Peramura","Peramuridae","","Peramuroides","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"241962","241962","txn","","","Peramuroides","Davis 2012","","","241962","genus","Peramuroides","39881","Peramuridae","Davis","2012","42299","extinct","1","141","139.1","141","139.1","Berriasian","","2","0","Chordata","Mammalia","Peramura","Peramuridae","Peramuroides","Peramuroides tenuiscus","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
